origin,destination,distance_miles,logistics_cost_per_mile,total_logistics_cost
Minneapolis_MN,Nashville_TN,696.82,0.01,6.97
Minneapolis_MN,Sacramento_CA,1510.26,0.01,15.1
Minneapolis_MN,Milwaukee_WI,297.7,0.01,2.98
Minneapolis_MN,Boston_MA,1120.07,0.01,11.2
Minneapolis_MN,Louisville_KY,604.09,0.01,6.04
Minneapolis_MN,Atlanta_GA,906.95,0.01,9.07
Minneapolis_MN,Cincinnati_OH,604.38,0.01,6.04
Minneapolis_MN,Miami_FL,1511.93,0.01,15.12
Minneapolis_MN,Memphis_TN,699.56,0.01,7.0
Minneapolis_MN,Fresno_CA,1488.57,0.01,14.89
Minneapolis_MN,Kansas_City_MO,411.32,0.01,4.11
Minneapolis_MN,Albuquerque_NM,981.1,0.01,9.81
Minneapolis_MN,Oklahoma_City_OK,693.18,0.01,6.93
Minneapolis_MN,Las_Vegas_NV,1292.8,0.01,12.93
Minneapolis_MN,Orlando_FL,1308.24,0.01,13.08
Minneapolis_MN,Pittsburgh_PA,741.57,0.01,7.42
Minneapolis_MN,Tampa_FL,1317.29,0.01,13.17
Minneapolis_MN,Denver_CO,697.77,0.01,6.98
Minneapolis_MN,Dallas_TX,863.31,0.01,8.63
Minneapolis_MN,Detroit_MI,541.72,0.01,5.42
Minneapolis_MN,San_Antonio_TX,1111.05,0.01,11.11
Minneapolis_MN,Chicago_IL,354.65,0.01,3.55
Minneapolis_MN,Tucson_AZ,1294.15,0.01,12.94
Minneapolis_MN,Phoenix_AZ,1277.56,0.01,12.78
Minneapolis_MN,Indianapolis_IN,510.28,0.01,5.1
Minneapolis_MN,Columbus_OH,626.3,0.01,6.26
Minneapolis_MN,Seattle_WA,1390.19,0.01,13.9
Minneapolis_MN,Houston_TX,1056.97,0.01,10.57
Sacramento_CA,St_Louis_MO,1680.69,0.01,16.81
Sacramento_CA,Charlotte_NC,2238.04,0.01,22.38
Sacramento_CA,Nashville_TN,1901.09,0.01,19.01
Sacramento_CA,Minneapolis_MN,1510.26,0.01,15.1
Sacramento_CA,Milwaukee_WI,1769.71,0.01,17.7
Sacramento_CA,Boston_MA,2623.03,0.01,26.23
Sacramento_CA,Louisville_KY,1920.89,0.01,19.21
Sacramento_CA,Atlanta_GA,2080.51,0.01,20.81
Sacramento_CA,Cincinnati_OH,1975.21,0.01,19.75
Sacramento_CA,Miami_FL,2545.55,0.01,25.46
Sacramento_CA,Memphis_TN,1744.4,0.01,17.44
Sacramento_CA,Fresno_CA,157.77,0.01,1.58
Sacramento_CA,Kansas_City_MO,1442.63,0.01,14.43
Sacramento_CA,Albuquerque_NM,853.94,0.01,8.54
Sacramento_CA,Oklahoma_City_OK,1335.05,0.01,13.35
Sacramento_CA,Las_Vegas_NV,385.84,0.01,3.86
Sacramento_CA,Orlando_FL,2388.93,0.01,23.89
Sacramento_CA,Pittsburgh_PA,2194.17,0.01,21.94
Sacramento_CA,Tampa_FL,2350.17,0.01,23.5
Sacramento_CA,Denver_CO,886.18,0.01,8.86
Sacramento_CA,Dallas_TX,1436.96,0.01,14.37
Sacramento_CA,Detroit_MI,2019.07,0.01,20.19
Sacramento_CA,San_Antonio_TX,1454.85,0.01,14.55
Sacramento_CA,Chicago_IL,1788.11,0.01,17.88
Sacramento_CA,Tucson_AZ,736.18,0.01,7.36
Sacramento_CA,Phoenix_AZ,633.76,0.01,6.34
Sacramento_CA,Indianapolis_IN,1880.82,0.01,18.81
Sacramento_CA,Columbus_OH,2043.7,0.01,20.44
Sacramento_CA,Seattle_WA,624.39,0.01,6.24
Sacramento_CA,Houston_TX,1604.91,0.01,16.05
Milwaukee_WI,St_Louis_MO,327.0,0.01,3.27
Milwaukee_WI,Charlotte_NC,658.31,0.01,6.58
Milwaukee_WI,Nashville_TN,478.59,0.01,4.79
Milwaukee_WI,Minneapolis_MN,297.7,0.01,2.98
Milwaukee_WI,Sacramento_CA,1769.71,0.01,17.7
Milwaukee_WI,Boston_MA,854.84,0.01,8.55
Milwaukee_WI,Louisville_KY,348.97,0.01,3.49
Milwaukee_WI,Atlanta_GA,668.54,0.01,6.69
Milwaukee_WI,Cincinnati_OH,324.22,0.01,3.24
Milwaukee_WI,Miami_FL,1269.05,0.01,12.69
Milwaukee_WI,Memphis_TN,556.86,0.01,5.57
Milwaukee_WI,Fresno_CA,1732.42,0.01,17.32
Milwaukee_WI,Kansas_City_MO,440.74,0.01,4.41
Milwaukee_WI,Albuquerque_NM,1141.41,0.01,11.41
Milwaukee_WI,Oklahoma_City_OK,731.67,0.01,7.32
Milwaukee_WI,Las_Vegas_NV,1516.66,0.01,15.17
Milwaukee_WI,Orlando_FL,1064.76,0.01,10.65
Milwaukee_WI,Pittsburgh_PA,445.41,0.01,4.45
Milwaukee_WI,Tampa_FL,1085.43,0.01,10.85
Milwaukee_WI,Denver_CO,911.61,0.01,9.12
Milwaukee_WI,Dallas_TX,857.06,0.01,8.57
Milwaukee_WI,Detroit_MI,251.53,0.01,2.52
Milwaukee_WI,San_Antonio_TX,1107.5,0.01,11.07
Milwaukee_WI,Chicago_IL,81.6,0.01,0.82
Milwaukee_WI,Tucson_AZ,1458.49,0.01,14.58
Milwaukee_WI,Phoenix_AZ,1460.91,0.01,14.61
Milwaukee_WI,Indianapolis_IN,243.31,0.01,2.43
Milwaukee_WI,Columbus_OH,330.87,0.01,3.31
Milwaukee_WI,Seattle_WA,1686.08,0.01,16.86
Milwaukee_WI,Houston_TX,1005.19,0.01,10.05
Boston_MA,St_Louis_MO,1034.5,0.01,10.34
Boston_MA,Charlotte_NC,719.77,0.01,7.2
Boston_MA,Nashville_TN,940.61,0.01,9.41
Boston_MA,Minneapolis_MN,1120.07,0.01,11.2
Boston_MA,Sacramento_CA,2623.03,0.01,26.23
Boston_MA,Milwaukee_WI,854.84,0.01,8.55
Boston_MA,Louisville_KY,822.81,0.01,8.23
Boston_MA,Atlanta_GA,934.95,0.01,9.35
Boston_MA,Cincinnati_OH,737.89,0.01,7.38
Boston_MA,Miami_FL,1256.53,0.01,12.57
Boston_MA,Memphis_TN,1133.89,0.01,11.34
Boston_MA,Fresno_CA,2587.16,0.01,25.87
